fname,itp_pred,itp_pred_prob,its_pred,its_pred_prob
Uz_time_01_87_.npz,[89],[0.90204656],[570],[0.7893965]
Uz_time_01_88_.npz,[93],[0.8596673],[573],[0.75297195]
Uz_time_01_89_.npz,[90],[0.9653509],[581],[0.81646156]
Uz_time_01_90_.npz,[89],[0.96539223],[586],[0.22796838]
Uz_time_01_91_.npz,[89],[0.9412484],[593],[0.7927923]
Uz_time_01_92_.npz,[89],[0.95547044],[595],[0.87183243]
Uz_time_01_93_.npz,[89],[0.9488237],[592],[0.5801172]
Uz_time_01_94_.npz,[91],[0.9536792],[608],[0.40756327]
Uz_time_01_95_.npz,[95],[0.5524574],[571],[0.4851899]
Uz_time_01_96_.npz,[90],[0.7521653],[630],[0.5640853]
Uz_time_02_01_.npz,[41],[0.94740915],[71],[0.8393326]
Uz_time_02_02_.npz,[42],[0.9549779],[],[]
Uz_time_02_03_.npz,[44],[0.94627887],[75],[0.5139568]
Uz_time_02_04_.npz,[43],[0.9512725],[80],[0.25583747]
Uz_time_02_05_.npz,[45],[0.9129785],[89],[0.50615513]
Uz_time_02_06_.npz,[49],[0.94984],[103],[0.4173506]
Uz_time_02_07_.npz,[53],[0.9434977],[114],[0.47320873]
Uz_time_02_08_.npz,[53],[0.9507264],[119],[0.46586514]
Uz_time_02_09_.npz,[55],[0.9505437],[196],[0.23863375]
Uz_time_02_10_.npz,[58],[0.95348334],[],[]
Uz_time_02_11_.npz,[57],[0.9606922],[160],[0.27639422]
Uz_time_02_12_.npz,[59],[0.94951725],[160],[0.3982164]
Uz_time_02_13_.npz,[61],[0.973475],[154],[0.51777226]
Uz_time_02_14_.npz,[61],[0.9708181],[142],[0.54194045]
Uz_time_02_15_.npz,[61],[0.95578384],[151],[0.32663286]
Uz_time_02_16_.npz,[61],[0.9600028],[149],[0.29278982]
Uz_time_02_17_.npz,[64],[0.9566468],[177],[0.3818002]
Uz_time_02_18_.npz,[63],[0.9302089],[171],[0.34644985]
Uz_time_02_19_.npz,[64],[0.9565173],[170],[0.44228217]
Uz_time_02_20_.npz,[65],[0.9641614],[195],[0.47338313]
Uz_time_02_21_.npz,[65],[0.9743911],[187],[0.40112182]
Uz_time_02_22_.npz,[63],[0.9344651],[186],[0.45540974]
Uz_time_02_23_.npz,[66],[0.9671396],[182],[0.3756263]
Uz_time_02_24_.npz,[63],[0.8834454],[210],[0.22877076]
Uz_time_02_25_.npz,[67],[0.950245],[202],[0.57056594]
Uz_time_02_26_.npz,[67],[0.92777044],[232],[0.4344149]
Uz_time_02_27_.npz,[66],[0.9215553],[],[]
Uz_time_02_28_.npz,[66],[0.9120677],[],[]
Uz_time_02_29_.npz,[63],[0.8223849],[],[]
Uz_time_02_30_.npz,[68],[0.92878747],[210],[0.5115151]
Uz_time_02_31_.npz,[67],[0.9434834],[230],[0.3740961]
Uz_time_02_32_.npz,[68],[0.9365549],[241],[0.6186725]
Uz_time_02_33_.npz,[69],[0.9468297],[243],[0.5617621]
Uz_time_02_34_.npz,[67],[0.93872255],[],[]
Uz_time_02_35_.npz,[70],[0.93578106],[263],[0.4899132]
Uz_time_02_36_.npz,[71],[0.9345534],[264],[0.65268767]
Uz_time_02_37_.npz,[70],[0.9348899],[264],[0.54279023]
Uz_time_02_38_.npz,[68],[0.8968069],[253],[0.4472052]
Uz_time_02_39_.npz,[76],[0.9550484],[293],[0.5540737]
Uz_time_02_40_.npz,[73],[0.9149926],[],[]
Uz_time_02_41_.npz,[70],[0.93685424],[250],[0.37796447]
Uz_time_02_42_.npz,[68],[0.9443184],[],[]
Uz_time_02_43_.npz,[71],[0.9324934],[298],[0.33005038]
Uz_time_02_44_.npz,[75],[0.9470345],[311],[0.57627016]
Uz_time_02_45_.npz,[72],[0.9362695],[322],[0.46801034]
Uz_time_02_46_.npz,[76],[0.93976873],[328],[0.30518952]
Uz_time_02_47_.npz,[79],[0.96477515],[320],[0.5013867]
Uz_time_02_48_.npz,[80],[0.9467011],[338],[0.41922083]
Uz_time_02_49_.npz,[78],[0.9596688],[337],[0.8568173]
Uz_time_02_50_.npz,[78],[0.9587821],[],[]
Uz_time_02_51_.npz,[78],[0.97186136],[335],[0.45456183]
Uz_time_02_52_.npz,[77],[0.9633425],[351],[0.6643303]
Uz_time_02_53_.npz,[78],[0.9743789],[359],[0.5325516]
Uz_time_02_54_.npz,[81],[0.96473074],[363],[0.6035139]
Uz_time_02_55_.npz,[81],[0.9720408],[384],[0.36431164]
Uz_time_02_56_.npz,[81],[0.9672619],[379],[0.49644274]
Uz_time_02_57_.npz,[80],[0.9455846],[],[]
Uz_time_02_58_.npz,[80],[0.96808326],[411],[0.45383394]
Uz_time_02_59_.npz,[82],[0.9642873],[394],[0.49536437]
Uz_time_02_60_.npz,[82],[0.9691004],[428],[0.36794093]
Uz_time_02_61_.npz,[79],[0.9497584],[411],[0.5174632]
Uz_time_02_62_.npz,[82],[0.96543103],[409],[0.72403044]
Uz_time_02_63_.npz,[81],[0.9573815],[418],[0.749984]
Uz_time_02_64_.npz,[83],[0.9682275],[463],[0.6627983]
Uz_time_02_65_.npz,[81],[0.94172347],[461],[0.56430256]
Uz_time_02_66_.npz,[83],[0.95843345],[439],[0.4075643]
Uz_time_02_67_.npz,[83],[0.96497536],[441],[0.7101483]
Uz_time_02_68_.npz,[84],[0.95694286],[452],[0.41731012]
Uz_time_02_69_.npz,[84],[0.9623203],[458],[0.747984]
Uz_time_02_70_.npz,[87],[0.96075714],[473],[0.6801105]
Uz_time_02_71_.npz,[84],[0.9584528],[462],[0.80018854]
Uz_time_02_72_.npz,[86],[0.93630874],[466],[0.82713395]
Uz_time_02_73_.npz,[85],[0.9519367],[499],[0.3843175]
Uz_time_02_74_.npz,[86],[0.95570284],[472],[0.6470457]
Uz_time_02_75_.npz,[87],[0.9647789],[487],[0.88913995]
Uz_time_02_76_.npz,[87],[0.9681931],[489],[0.8562239]
Uz_time_02_77_.npz,[87],[0.9599686],[495],[0.8918091]
Uz_time_02_78_.npz,[88],[0.96040076],[503],[0.8335959]
Uz_time_02_79_.npz,[87],[0.96290183],[509],[0.8311177]
Uz_time_02_80_.npz,[86],[0.96227133],[510],[0.83981484]
Uz_time_02_81_.npz,[86],[0.96546805],[519],[0.8415283]
Uz_time_02_82_.npz,[86],[0.9606204],[504],[0.3616114]
Uz_time_02_83_.npz,[86],[0.9636912],[519],[0.6002944]
Uz_time_02_84_.npz,[86],[0.957286],[535],[0.77109104]
Uz_time_02_85_.npz,[88],[0.9466412],[523],[0.8380995]
Uz_time_02_86_.npz,[89],[0.9518628],[554],[0.74048734]
Uz_time_02_87_.npz,[89],[0.8808942],[554],[0.8953637]
Uz_time_02_88_.npz,[90],[0.9521113],[559],[0.866675]
Uz_time_02_89_.npz,[90],[0.9563883],[566],[0.86212873]
Uz_time_02_90_.npz,[89],[0.9454675],[522],[0.58009374]
Uz_time_02_91_.npz,[91],[0.9511662],[580],[0.8312788]
Uz_time_02_92_.npz,[91],[0.95440996],[576],[0.8329079]
Uz_time_02_93_.npz,[90],[0.9615799],[577],[0.7147734]
Uz_time_02_94_.npz,[91],[0.9489777],[586],[0.5562098]
Uz_time_02_95_.npz,[95],[0.89575696],[],[]
Uz_time_02_96_.npz,[91],[0.9466769],[595],[0.6843623]
Uz_time_03_01_.npz,[47],[0.83870965],[62],[0.32060006]
Uz_time_03_02_.npz,[42],[0.9127634],[61],[0.5764482]
Uz_time_03_03_.npz,[42],[0.9569312],[66],[0.3429593]
Uz_time_03_04_.npz,[44],[0.9133305],[69],[0.54929596]
Uz_time_03_05_.npz,[47],[0.8562827],[],[]
Uz_time_03_06_.npz,[48],[0.9269081],[],[]
Uz_time_03_07_.npz,[51],[0.9448311],[88],[0.35448855]
Uz_time_03_08_.npz,[55],[0.9574325],[123],[0.4778376]
Uz_time_03_09_.npz,[58],[0.96118426],[146],[0.2621415]
Uz_time_03_10_.npz,[59],[0.9589659],[],[]
Uz_time_03_11_.npz,[60],[0.94692576],[164],[0.33947203]
Uz_time_03_12_.npz,[62],[0.95418537],[176],[0.37558758]
Uz_time_03_13_.npz,[63],[0.96446145],[177],[0.41896585]
Uz_time_03_14_.npz,[63],[0.96516013],[],[]
Uz_time_03_15_.npz,[62],[0.96040934],[],[]
Uz_time_03_16_.npz,[63],[0.9557231],[178],[0.26455903]
Uz_time_03_17_.npz,[65],[0.9495621],[183],[0.27689707]
Uz_time_03_18_.npz,[65],[0.95892894],[],[]
Uz_time_03_19_.npz,[66],[0.95780617],[],[]
Uz_time_03_20_.npz,[65],[0.96415085],[209],[0.53193897]
Uz_time_03_21_.npz,[66],[0.9704968],[207],[0.36953694]
Uz_time_03_22_.npz,[63],[0.94128156],[210],[0.31761143]
Uz_time_03_23_.npz,[66],[0.965817],[186],[0.28321898]
Uz_time_03_24_.npz,[66],[0.9153831],[224],[0.487314]
Uz_time_03_25_.npz,[68],[0.938655],[226],[0.40926057]
Uz_time_03_26_.npz,[68],[0.9363325],[242],[0.38627106]
Uz_time_03_27_.npz,[67],[0.93469477],[210],[0.2553825]
Uz_time_03_28_.npz,[65],[0.8583542],[],[]
Uz_time_03_29_.npz,[66],[0.814029],[],[]
Uz_time_03_30_.npz,[68],[0.94332284],[210],[0.3612603]
Uz_time_03_31_.npz,[68],[0.91842896],[232],[0.41794083]
Uz_time_03_32_.npz,[69],[0.93535113],[235],[0.4975419]
Uz_time_03_33_.npz,[70],[0.93741643],[246],[0.5266134]
Uz_time_03_34_.npz,[69],[0.9398357],[239],[0.505312]
Uz_time_03_35_.npz,[72],[0.9440137],[],[]
Uz_time_03_36_.npz,[72],[0.9486133],[274],[0.3553334]
Uz_time_03_37_.npz,[72],[0.9676725],[259],[0.3360134]
Uz_time_03_38_.npz,[73],[0.95377237],[273],[0.75226045]
Uz_time_03_39_.npz,[75],[0.94372475],[278],[0.7327897]
Uz_time_03_40_.npz,[75],[0.9443743],[310],[0.24790792]
Uz_time_03_41_.npz,[74],[0.9608314],[],[]
Uz_time_03_42_.npz,[70],[0.88232166],[294],[0.4165361]
Uz_time_03_43_.npz,[73],[0.8724642],[],[]
Uz_time_03_44_.npz,[77],[0.97345],[305],[0.64912266]
Uz_time_03_45_.npz,[75],[0.9402771],[315],[0.6972947]
Uz_time_03_46_.npz,[78],[0.966427],[314],[0.21710049]
Uz_time_03_47_.npz,[79],[0.9575024],[350],[0.32665157]
Uz_time_03_48_.npz,[80],[0.9650679],[331],[0.38917404]
Uz_time_03_49_.npz,[79],[0.9592195],[335],[0.5267502]
Uz_time_03_50_.npz,[79],[0.9552345],[],[]
Uz_time_03_51_.npz,[81],[0.9685874],[396],[0.24625517]
Uz_time_03_52_.npz,[79],[0.95873606],[346],[0.72018945]
Uz_time_03_53_.npz,[80],[0.95963377],[359],[0.40903717]
Uz_time_03_54_.npz,[82],[0.9582959],[370],[0.34910274]
Uz_time_03_55_.npz,[83],[0.94983894],[381],[0.3250429]
Uz_time_03_56_.npz,[82],[0.9531488],[388],[0.28281447]
Uz_time_03_57_.npz,[81],[0.93789166],[],[]
Uz_time_03_58_.npz,[83],[0.960296],[382],[0.24215955]
Uz_time_03_59_.npz,[85],[0.95718473],[445],[0.5297464]
Uz_time_03_60_.npz,[83],[0.96471655],[428],[0.5175026]
Uz_time_03_61_.npz,[83],[0.9637281],[470],[0.32631958]
Uz_time_03_62_.npz,[84],[0.959209],[453],[0.5352262]
Uz_time_03_63_.npz,[84],[0.96196413],[453],[0.6583618]
Uz_time_03_64_.npz,[84],[0.962495],[423],[0.6278081]
Uz_time_03_65_.npz,[83],[0.959383],[582],[0.6249713]
Uz_time_03_66_.npz,[84],[0.9642403],[471],[0.6721823]
Uz_time_03_67_.npz,[85],[0.961438],[435],[0.85809594]
Uz_time_03_68_.npz,[85],[0.960433],[438],[0.5061932]
Uz_time_03_69_.npz,[84],[0.95995444],[448],[0.68887645]
Uz_time_03_70_.npz,[87],[0.9629123],[468],[0.6133923]
Uz_time_03_71_.npz,[86],[0.9543014],[475],[0.64731437]
Uz_time_03_72_.npz,[86],[0.95493656],[465],[0.8529966]
Uz_time_03_73_.npz,[86],[0.9453686],[475],[0.47493666]
Uz_time_03_74_.npz,[86],[0.9661936],[474],[0.57675934]
Uz_time_03_75_.npz,[88],[0.95945156],[485],[0.89025646]
Uz_time_03_76_.npz,[87],[0.9622716],[477],[0.6181959]
Uz_time_03_77_.npz,[87],[0.96496636],[495],[0.89584935]
Uz_time_03_78_.npz,[88],[0.95777214],[503],[0.7021208]
Uz_time_03_79_.npz,[86],[0.9653667],[512],[0.6561157]
Uz_time_03_80_.npz,[86],[0.9558901],[511],[0.8642496]
Uz_time_03_81_.npz,[87],[0.95492333],[517],[0.8494348]
Uz_time_03_82_.npz,[86],[0.953727],[521],[0.7785238]
Uz_time_03_83_.npz,[89],[0.94930506],[521],[0.6366076]
Uz_time_03_84_.npz,[86],[0.9471703],[537],[0.81304485]
Uz_time_03_85_.npz,[88],[0.9251316],[539],[0.7758117]
Uz_time_03_86_.npz,[91],[0.95429325],[549],[0.8019471]
Uz_time_03_87_.npz,[90],[0.96042925],[554],[0.8900112]
Uz_time_03_88_.npz,[91],[0.94928664],[560],[0.8601223]
Uz_time_03_89_.npz,[90],[0.9612334],[565],[0.8990543]
Uz_time_03_90_.npz,[89],[0.95787483],[573],[0.85219365]
Uz_time_03_91_.npz,[91],[0.9404307],[586],[0.560097]
Uz_time_03_92_.npz,[91],[0.9497254],[579],[0.72748125]
Uz_time_03_93_.npz,[90],[0.9545794],[575],[0.5484875]
Uz_time_03_94_.npz,[91],[0.95041007],[],[]
Uz_time_03_95_.npz,[95],[0.8162389],[],[]
Uz_time_03_96_.npz,[91],[0.925605],[593],[0.7722466]
Uz_time_04_01_.npz,[46],[0.93408954],[71],[0.756069]
Uz_time_04_02_.npz,[43],[0.9586285],[74],[0.76333684]
Uz_time_04_03_.npz,[42],[0.9610963],[64],[0.76013076]
Uz_time_04_04_.npz,[40],[0.969667],[66],[0.47225633]
Uz_time_04_05_.npz,[43],[0.9658328],[78],[0.40130246]
Uz_time_04_06_.npz,[49],[0.9457971],[98],[0.6092968]
Uz_time_04_07_.npz,[50],[0.92052245],[91],[0.266761]
Uz_time_04_08_.npz,[52],[0.9406087],[107],[0.77811855]
Uz_time_04_09_.npz,[54],[0.9305366],[107],[0.7003846]
Uz_time_04_10_.npz,[58],[0.960092],[154],[0.26098406]
Uz_time_04_11_.npz,[58],[0.9463818],[159],[0.484356]
Uz_time_04_12_.npz,[60],[0.94122154],[166],[0.4724887]
Uz_time_04_13_.npz,[62],[0.9644386],[166],[0.52495396]
Uz_time_04_14_.npz,[62],[0.9610499],[170],[0.3419357]
Uz_time_04_15_.npz,[62],[0.9310173],[198],[0.344723]
Uz_time_04_16_.npz,[63],[0.96423066],[176],[0.3268959]
Uz_time_04_17_.npz,[64],[0.959493],[201],[0.6970818]
Uz_time_04_18_.npz,[63],[0.94504714],[202],[0.6472655]
Uz_time_04_19_.npz,[66],[0.969799],[193],[0.55662733]
Uz_time_04_20_.npz,[66],[0.97549474],[191],[0.53892416]
Uz_time_04_21_.npz,[66],[0.97190195],[206],[0.45313087]
Uz_time_04_22_.npz,[65],[0.95571995],[208],[0.3645972]
Uz_time_04_23_.npz,[65],[0.9634998],[199],[0.2882208]
Uz_time_04_24_.npz,[67],[0.9522915],[192],[0.461361]
Uz_time_04_25_.npz,[69],[0.9407399],[],[]
Uz_time_04_26_.npz,[67],[0.90377975],[257],[0.4045004]
Uz_time_04_27_.npz,[67],[0.9007273],[326],[0.35726005]
Uz_time_04_28_.npz,[66],[0.89875364],[271],[0.26947337]
Uz_time_04_29_.npz,[66],[0.9193268],[],[]
Uz_time_04_30_.npz,[70],[0.9128889],[226],[0.20940176]
Uz_time_04_31_.npz,[67],[0.9349003],[224],[0.40665838]
Uz_time_04_32_.npz,[70],[0.9106832],[270],[0.23266031]
Uz_time_04_33_.npz,[68],[0.8782085],[252],[0.3766843]
Uz_time_04_34_.npz,[68],[0.88010824],[],[]
Uz_time_04_35_.npz,[69],[0.9080862],[],[]
Uz_time_04_36_.npz,[72],[0.9248077],[266],[0.675384]
Uz_time_04_37_.npz,[72],[0.9511509],[266],[0.5866646]
Uz_time_04_38_.npz,[71],[0.91548556],[255],[0.5204916]
Uz_time_04_39_.npz,[75],[0.9415094],[],[]
Uz_time_04_40_.npz,[76],[0.9036715],[],[]
Uz_time_04_41_.npz,[73],[0.92443705],[],[]
Uz_time_04_42_.npz,[73],[0.9405487],[],[]
Uz_time_04_43_.npz,[74],[0.9291713],[],[]
Uz_time_04_44_.npz,[77],[0.9729735],[301],[0.5186415]
Uz_time_04_45_.npz,[74],[0.92849153],[444],[0.38701174]
Uz_time_04_46_.npz,[77],[0.945499],[],[]
Uz_time_04_47_.npz,[80],[0.9641925],[330],[0.32396284]
Uz_time_04_48_.npz,[78],[0.9183927],[330],[0.38958374]
Uz_time_04_49_.npz,[79],[0.95194405],[343],[0.54355663]
Uz_time_04_50_.npz,[79],[0.95735997],[344],[0.3276273]
Uz_time_04_51_.npz,[80],[0.96503055],[344],[0.5245855]
Uz_time_04_52_.npz,[80],[0.96238935],[342],[0.84497017]
Uz_time_04_53_.npz,[82],[0.9694605],[358],[0.6956044]
Uz_time_04_54_.npz,[83],[0.9576184],[357],[0.6561944]
Uz_time_04_55_.npz,[83],[0.95975775],[376],[0.7454791]
Uz_time_04_56_.npz,[82],[0.95620537],[371],[0.47075534]
Uz_time_04_57_.npz,[80],[0.9479259],[394],[0.2924121]
Uz_time_04_58_.npz,[83],[0.94917935],[389],[0.60229146]
Uz_time_04_59_.npz,[84],[0.9407067],[443],[0.7757675]
Uz_time_04_60_.npz,[83],[0.9588696],[391],[0.70610005]
Uz_time_04_61_.npz,[83],[0.9431434],[445],[0.6565538]
Uz_time_04_62_.npz,[83],[0.9524277],[432],[0.35333455]
Uz_time_04_63_.npz,[83],[0.9471395],[461],[0.6706381]
Uz_time_04_64_.npz,[85],[0.95732147],[454],[0.35135773]
Uz_time_04_65_.npz,[83],[0.95601225],[458],[0.2747854]
Uz_time_04_66_.npz,[85],[0.9354707],[431],[0.5187058]
Uz_time_04_67_.npz,[85],[0.9559907],[428],[0.66368985]
Uz_time_04_68_.npz,[85],[0.961204],[434],[0.8587852]
Uz_time_04_69_.npz,[86],[0.966697],[445],[0.63044447]
Uz_time_04_70_.npz,[89],[0.9652354],[458],[0.7633647]
Uz_time_04_71_.npz,[86],[0.9631542],[446],[0.74563223]
Uz_time_04_72_.npz,[86],[0.9508244],[461],[0.5698128]
Uz_time_04_73_.npz,[87],[0.9635298],[429],[0.32719064]
Uz_time_04_74_.npz,[87],[0.96185493],[466],[0.51579833]
Uz_time_04_75_.npz,[88],[0.9559787],[474],[0.7434877]
Uz_time_04_76_.npz,[88],[0.95915604],[482],[0.87529594]
Uz_time_04_77_.npz,[89],[0.96107006],[],[]
Uz_time_04_78_.npz,[89],[0.9682085],[495],[0.8221121]
Uz_time_04_79_.npz,[88],[0.9580058],[500],[0.8367448]
Uz_time_04_80_.npz,[88],[0.96538526],[507],[0.8131891]
Uz_time_04_81_.npz,[87],[0.96208173],[510],[0.8576986]
Uz_time_04_82_.npz,[89],[0.95899135],[516],[0.8800439]
Uz_time_04_83_.npz,[89],[0.9713587],[517],[0.83841085]
Uz_time_04_84_.npz,[89],[0.9648959],[526],[0.84641147]
Uz_time_04_85_.npz,[90],[0.96043587],[524],[0.57222235]
Uz_time_04_86_.npz,[90],[0.92742044],[541],[0.900788]
Uz_time_04_87_.npz,[90],[0.8764671],[547],[0.8058309]
Uz_time_04_88_.npz,[91],[0.95550114],[550],[0.84541106]
Uz_time_04_89_.npz,[90],[0.9610036],[554],[0.88769495]
Uz_time_04_90_.npz,[90],[0.9630109],[570],[0.58619416]
Uz_time_04_91_.npz,[91],[0.9539366],[586],[0.8477994]
Uz_time_04_92_.npz,[91],[0.95157355],[579],[0.7114884]
Uz_time_04_93_.npz,[91],[0.9453051],[584],[0.84895736]
Uz_time_04_94_.npz,[91],[0.93840784],[535],[0.47584116]
Uz_time_04_95_.npz,[95],[0.52934307],[578],[0.423881]
Uz_time_04_96_.npz,[95],[0.7264248],[589],[0.7431975]
Uz_time_05_01_.npz,[54],[0.89003253],[104],[0.3502035]
Uz_time_05_02_.npz,[46],[0.93593204],[82],[0.4991279]
Uz_time_05_03_.npz,[44],[0.91510785],[72],[0.5190752]
Uz_time_05_04_.npz,[42],[0.9336404],[73],[0.7189407]
Uz_time_05_05_.npz,[42],[0.96724254],[],[]
Uz_time_05_06_.npz,[43],[0.9449316],[71],[0.56639427]
Uz_time_05_07_.npz,[47],[0.9358668],[79],[0.6070007]
Uz_time_05_08_.npz,[47],[0.9417826],[88],[0.599417]
Uz_time_05_09_.npz,[52],[0.93759793],[106],[0.7222421]
Uz_time_05_10_.npz,[53],[0.9498057],[110],[0.4073086]
Uz_time_05_11_.npz,[58],[0.9594586],[122],[0.40336856]
Uz_time_05_12_.npz,[59],[0.96227366],[139],[0.54254186]
Uz_time_05_13_.npz,[61],[0.96791786],[158],[0.5248211]
Uz_time_05_14_.npz,[62],[0.9725543],[154],[0.53819877]
Uz_time_05_15_.npz,[62],[0.96915364],[162],[0.5527196]
Uz_time_05_16_.npz,[63],[0.9631206],[170],[0.5590741]
Uz_time_05_17_.npz,[64],[0.9680559],[195],[0.37260798]
Uz_time_05_18_.npz,[64],[0.9529476],[199],[0.5207941]
Uz_time_05_19_.npz,[65],[0.97220606],[185],[0.40771973]
Uz_time_05_20_.npz,[64],[0.9601396],[186],[0.21049702]
Uz_time_05_21_.npz,[66],[0.96965843],[],[]
Uz_time_05_22_.npz,[66],[0.9657665],[210],[0.36945882]
Uz_time_05_23_.npz,[66],[0.9731031],[203],[0.37439707]
Uz_time_05_24_.npz,[67],[0.9479259],[],[]
Uz_time_05_25_.npz,[68],[0.95115554],[205],[0.36405805]
Uz_time_05_26_.npz,[70],[0.92477334],[],[]
